table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,en,Ezemaal,,,Ezemaal
stops,stop_name,fr,Tirlemont,,,Tirlemont
stops,stop_name,nl,Tienen,,,Tirlemont
stops,stop_name,de,Tienen / Tirlemont,,,Tirlemont
stops,stop_name,en,Tirlemont / Tienen,,,Tirlemont
stops,stop_name,fr,Zichem,,,Zichem
stops,stop_name,nl,Zichem,,,Zichem
stops,stop_name,de,Zichem,,,Zichem
stops,stop_name,en,Zichem,,,Zichem
stops,stop_name,fr,Testelt,,,Testelt
stops,stop_name,nl,Testelt,,,Testelt
stops,stop_name,de,Testelt,,,Testelt
stops,stop_name,en,Testelt,,,Testelt
stops,stop_name,fr,Langdorp,,,Langdorp
stops,stop_name,nl,Langdorp,,,Langdorp
stops,stop_name,de,Langdorp,,,Langdorp
stops,stop_name,en,Langdorp,,,Langdorp
stops,stop_name,fr,Wezemaal,,,Wezemaal
stops,stop_name,nl,Wezemaal,,,Wezemaal
stops,stop_name,de,Wezemaal,,,Wezemaal
stops,stop_name,en,Wezemaal,,,Wezemaal
stops,stop_name,fr,Aarschot,,,Aarschot
stops,stop_name,nl,Aarschot,,,Aarschot
stops,stop_name,de,Aarschot,,,Aarschot
stops,stop_name,en,Aarschot,,,Aarschot
stops,stop_name,fr,Wijgmaal,,,Wijgmaal
stops,stop_name,nl,Wijgmaal,,,Wijgmaal
stops,stop_name,de,Wijgmaal,,,Wijgmaal
stops,stop_name,en,Wijgmaal,,,Wijgmaal
stops,stop_name,fr,Sint-Joris-Weert,,,Sint-Joris-Weert
stops,stop_name,nl,Sint-Joris-Weert,,,Sint-Joris-Weert
stops,stop_name,de,Sint-Joris-Weert,,,Sint-Joris-Weert
stops,stop_name,en,Sint-Joris-Weert,,,Sint-Joris-Weert
stops,stop_name,fr,Oud-Heverlee,,,Oud-Heverlee
stops,stop_name,nl,Oud-Heverlee,,,Oud-Heverlee
stops,stop_name,de,Oud-Heverlee,,,Oud-Heverlee
stops,stop_name,en,Oud-Heverlee,,,Oud-Heverlee
stops,stop_name,fr,Heverlee,,,Heverlee
stops,stop_name,nl,Heverlee,,,Heverlee
stops,stop_name,de,Heverlee,,,Heverlee
stops,stop_name,en,Heverlee,,,Heverlee
stops,stop_name,fr,Vertrijk,,,Vertrijk
stops,stop_name,nl,Vertrijk,,,Vertrijk
stops,stop_name,de,Vertrijk,,,Vertrijk
stops,stop_name,en,Vertrijk,,,Vertrijk
stops,stop_name,fr,Louvain,,,Louvain
stops,stop_name,nl,Leuven,,,Louvain
stops,stop_name,de,Leuven / Louvain,,,Louvain
stops,stop_name,en,Louvain / Leuven,,,Louvain
stops,stop_name,fr,Hamont,,,Hamont
stops,stop_name,nl,Hamont,,,Hamont
stops,stop_name,de,Hamont,,,Hamont
stops,stop_name,en,Hamont,,,Hamont
stops,stop_name,fr,Neerpelt,,,Neerpelt
stops,stop_name,nl,Neerpelt,,,Neerpelt
stops,stop_name,de,Neerpelt,,,Neerpelt
stops,stop_name,en,Neerpelt,,,Neerpelt
stops,stop_name,fr,Overpelt,,,Overpelt
stops,stop_name,nl,Overpelt,,,Overpelt
stops,stop_name,de,Overpelt,,,Overpelt
stops,stop_name,en,Overpelt,,,Overpelt
stops,stop_name,fr,Lommel,,,Lommel
stops,stop_name,nl,Lommel,,,Lommel
stops,stop_name,de,Lommel,,,Lommel
stops,stop_name,en,Lommel,,,Lommel
stops,stop_name,fr,Olen,,,Olen
stops,stop_name,nl,Olen,,,Olen
stops,stop_name,de,Olen,,,Olen
stops,stop_name,en,Olen,,,Olen
stops,stop_name,fr,Geel,,,Geel
stops,stop_name,nl,Geel,,,Geel
stops,stop_name,de,Geel,,,Geel
stops,stop_name,en,Geel,,,Geel
stops,stop_name,fr,Mol,,,Mol
stops,stop_name,nl,Mol,,,Mol
stops,stop_name,de,Mol,,,Mol
stops,stop_name,en,Mol,,,Mol
stops,stop_name,fr,Kiewit,,,Kiewit
stops,stop_name,nl,Kiewit,,,Kiewit
stops,stop_name,de,Kiewit,,,Kiewit
stops,stop_name,en,Kiewit,,,Kiewit
stops,stop_name,fr,Zonhoven,,,Zonhoven
stops,stop_name,nl,Zonhoven,,,Zonhoven
stops,stop_name,de,Zonhoven,,,Zonhoven
stops,stop_name,en,Zonhoven,,,Zonhoven
stops,stop_name,fr,Zolder,,,Zolder
stops,stop_name,nl,Zolder,,,Zolder
stops,stop_name,de,Zolder,,,Zolder
stops,stop_name,en,Zolder,,,Zolder
stops,stop_name,fr,Heusden,,,Heusden
stops,stop_name,nl,Heusden,,,Heusden
stops,stop_name,de,Heusden,,,Heusden
stops,stop_name,en,Heusden,,,Heusden
stops,stop_name,fr,Beringen,,,Beringen
stops,stop_name,nl,Beringen,,,Beringen
stops,stop_name,de,Beringen,,,Beringen
stops,stop_name,en,Beringen,,,Beringen
stops,stop_name,fr,Beverlo,,,Beverlo
stops,stop_name,nl,Beverlo,,,Beverlo
stops,stop_name,de,Beverlo,,,Beverlo
stops,stop_name,en,Beverlo,,,Beverlo
stops,stop_name,fr,Balen,,,Balen
stops,stop_name,nl,Balen,,,Balen
stops,stop_name,de,Balen,,,Balen
stops,stop_name,en,Balen,,,Balen
stops,stop_name,fr,Bourg-Léopold,,,Bourg-Léopold
stops,stop_name,nl,Leopoldsburg,,,Bourg-Léopold
stops,stop_name,de,Leopoldsburg / Bourg Léopold,,,Bourg-Léopold
stops,stop_name,en,Bourg Léopold / Leopoldsburg,,,Bourg-Léopold
stops,stop_name,fr,Saint-Trond,,,Saint-Trond
stops,stop_name,nl,Sint-Truiden,,,Saint-Trond
stops,stop_name,de,Sint-Truiden / Saint-Trond,,,Saint-Trond
stops,stop_name,en,Saint-Trond / Sint-Truiden,,,Saint-Trond
stops,stop_name,fr,Bokrijk,,,Bokrijk
stops,stop_name,nl,Bokrijk,,,Bokrijk
stops,stop_name,de,Bokrijk,,,Bokrijk
stops,stop_name,en,Bokrijk,,,Bokrijk
stops,stop_name,fr,Genk,,,Genk
stops,stop_name,nl,Genk,,,Genk
stops,stop_name,de,Genk,,,Genk
stops,stop_name,en,Genk,,,Genk
stops,stop_name,fr,Diest,,,Diest
stops,stop_name,nl,Diest,,,Diest
stops,stop_name,de,Diest,,,Diest
stops,stop_name,en,Diest,,,Diest
stops,stop_name,fr,Tongres,,,Tongres
stops,stop_name,nl,Tongeren,,,Tongres
stops,stop_name,de,Tongeren / Tongres,,,Tongres
stops,stop_name,en,Tongres / Tongeren,,,Tongres
stops,stop_name,fr,Bilzen,,,Bilzen
stops,stop_name,nl,Bilzen,,,Bilzen
stops,stop_name,de,Bilzen,,,Bilzen
stops,stop_name,en,Bilzen,,,Bilzen
stops,stop_name,fr,Diepenbeek,,,Diepenbeek
stops,stop_name,nl,Diepenbeek,,,Diepenbeek
stops,stop_name,de,Diepenbeek,,,Diepenbeek
stops,stop_name,en,Diepenbeek,,,Diepenbeek
stops,stop_name,fr,Schulen,,,Schulen
stops,stop_name,nl,Schulen,,,Schulen
stops,stop_name,de,Schulen,,,Schulen
stops,stop_name,en,Schulen,,,Schulen
stops,stop_name,fr,Alken,,,Alken
stops,stop_name,nl,Alken,,,Alken
stops,stop_name,de,Alken,,,Alken
stops,stop_name,en,Alken,,,Alken
stops,stop_name,fr,Hasselt,,,Hasselt
stops,stop_name,nl,Hasselt,,,Hasselt
stops,stop_name,de,Hasselt,,,Hasselt
stops,stop_name,en,Hasselt,,,Hasselt
stops,stop_name,fr,Niel,,,Niel
stops,stop_name,nl,Niel,,,Niel
stops,stop_name,de,Niel,,,Niel
stops,stop_name,en,Niel,,,Niel
stops,stop_name,fr,Schelle,,,Schelle
stops,stop_name,nl,Schelle,,,Schelle
stops,stop_name,de,Schelle,,,Schelle
stops,stop_name,en,Schelle,,,Schelle
stops,stop_name,fr,Hemiksem,,,Hemiksem
stops,stop_name,nl,Hemiksem,,,Hemiksem
stops,stop_name,de,Hemiksem,,,Hemiksem
stops,stop_name,en,Hemiksem,,,Hemiksem
stops,stop_name,fr,Hoboken-Polder,,,Hoboken-Polder
stops,stop_name,nl,Hoboken-Polder,,,Hoboken-Polder
stops,stop_name,de,Hoboken-Polder,,,Hoboken-Polder
stops,stop_name,en,Hoboken-Polder,,,Hoboken-Polder
stops,stop_name,fr,Ruisbroek-Sauvegarde,,,Ruisbroek-Sauvegarde
stops,stop_name,nl,Ruisbroek-Sauvegarde,,,Ruisbroek-Sauvegarde
stops,stop_name,de,Ruisbroek-Sauvegarde,,,Ruisbroek-Sauvegarde
stops,stop_name,en,Ruisbroek-Sauvegarde,,,Ruisbroek-Sauvegarde
stops,stop_name,fr,Boom,,,Boom
stops,stop_name,nl,Boom,,,Boom
stops,stop_name,de,Boom,,,Boom
stops,stop_name,en,Boom,,,Boom
stops,stop_name,fr,Bornem,,,Bornem
stops,stop_name,nl,Bornem,,,Bornem
stops,stop_name,de,Bornem,,,Bornem
stops,stop_name,en,Bornem,,,Bornem
stops,stop_name,fr,Puurs,,,Puurs
stops,stop_name,nl,Puurs,,,Puurs
stops,stop_name,de,Puurs,,,Puurs
stops,stop_name,en,Puurs,,,Puurs
stops,stop_name,fr,Willebroek,,,Willebroek
stops,stop_name,nl,Willebroek,,,Willebroek
stops,stop_name,de,Willebroek,,,Willebroek
stops,stop_name,en,Willebroek,,,Willebroek
stops,stop_name,fr,Hambos,,,Hambos
stops,stop_name,nl,Hambos,,,Hambos
stops,stop_name,de,Hambos,,,Hambos
stops,stop_name,en,Hambos,,,Hambos
stops,stop_name,fr,Wespelaar-Tildonk,,,Wespelaar-Tildonk
stops,stop_name,nl,Wespelaar-Tildonk,,,Wespelaar-Tildonk
stops,stop_name,de,Wespelaar-Tildonk,,,Wespelaar-Tildonk
stops,stop_name,en,Wespelaar-Tildonk,,,Wespelaar-Tildonk
stops,stop_name,fr,Haacht,,,Haacht
stops,stop_name,nl,Haacht,,,Haacht
stops,stop_name,de,Haacht,,,Haacht
stops,stop_name,en,Haacht,,,Haacht
stops,stop_name,fr,Boortmeerbeek,,,Boortmeerbeek
stops,stop_name,nl,Boortmeerbeek,,,Boortmeerbeek
stops,stop_name,de,Boortmeerbeek,,,Boortmeerbeek
stops,stop_name,en,Boortmeerbeek,,,Boortmeerbeek
stops,stop_name,fr,Hever,,,Hever
stops,stop_name,nl,Hever,,,Hever
stops,stop_name,de,Hever,,,Hever
stops,stop_name,en,Hever,,,Hever
stops,stop_name,fr,Muizen,,,Muizen
stops,stop_name,nl,Muizen,,,Muizen
stops,stop_name,de,Muizen,,,Muizen
stops,stop_name,en,Muizen,,,Muizen
stops,stop_name,fr,Malines-Nekkerspoel,,,Malines-Nekkerspoel
stops,stop_name,nl,Mechelen-Nekkerspoel,,,Malines-Nekkerspoel
stops,stop_name,de,Mechelen-Nekkerspoel / Malines-Nekkerspoel,,,Malines-Nekkerspoel
stops,stop_name,en,Malines-Nekkerspoel / Mechelen-Nekkerspoel,,,Malines-Nekkerspoel
stops,stop_name,fr,Hofstade,,,Hofstade
stops,stop_name,nl,Hofstade,,,Hofstade
stops,stop_name,de,Hofstade,,,Hofstade
stops,stop_name,en,Hofstade,,,Hofstade
stops,stop_name,fr,Eppegem,,,Eppegem
stops,stop_name,nl,Eppegem,,,Eppegem
